# isf[16] -> indices[5] -> decoded[16]
1299 2208 3429 4100 5238 6388 7081 7905 8471 9773 10301 10683 11784 12768 13361 14299 | 58 63 61 4 17 | 1149 1837 3463 4264 5282 6362 7115 8129 8494 9220 9938 10802 12868 14006 15114 4400 
1250 2485 3042 4140 4810 5608 6863 7546 8767 9833 10431 11083 12058 12757 13859 14562 | 63 62 33 17 17 | 744 2223 3131 3993 4611 5616 6703 7574 8768 9749 10688 11557 12868 14006 15114 4400 
857 1672 2759 3416 3959 4704 5662 6087 7299 8478 9167 9712 10737 11539 12039 13226 | 51 23 1 0 0 | 810 1680 2576 3348 3932 4700 5571 6412 7453 8299 9207 10188 11334 12305 13220 3549 
906 2129 3439 4006 4374 5550 6124 7044 7991 8918 9488 9932 11027 11972 13153 14013 | 59 62 34 2 18 | 832 1976 3131 3993 4611 5473 6296 7027 7908 8783 9622 10543 12559 13839 14894 4285 
1108 1523 1928 2754 3676 4825 6064 6799 7965 8933 10007 10415 10942 11497 12665 13541 | 48 4 7 2 18 | 1051 1548 2045 2823 3637 4970 5996 6965 7908 8783 9622 10543 12559 13839 14894 4285 
864 1528 2583 3561 4380 4770 5895 6884 7520 8547 9325 10266 11246 11865 12889 13612 | 45 45 4 1 18 | 904 1515 2590 3553 4421 4856 5814 6847 7677 8543 9435 10367 12559 13839 14894 4285 
1059 2192 3183 4068 4414 5501 5806 6813 7830 8498 9358 10044 11097 11459 11980 13014 | 59 62 8 1 0 | 832 1976 3131 3993 4611 5161 6021 6798 7677 8543 9435 10367 11334 12305 13220 3549 
735 1429 2366 2834 4047 4509 5003 6136 6596 7675 8427 9718 10866 11952 12390 13678 | 32 13 0 0 18 | 709 1403 2231 3000 4004 4417 5360 6466 7453 8299 9207 10188 12559 13839 14894 4285 
930 1674 2946 3424 4596 5355 6056 6483 7004 7731 8683 9691 10859 11651 12929 13504 | 49 50 8 0 18 | 933 1629 2825 3652 4598 5161 6021 6798 7453 8299 9207 10188 12559 13839 14894 4285 
326 1175 1932 3142 4073 4866 5933 6440 7224 8465 9190 9768 11051 12143 13106 13520 | 13 11 3 0 18 | 316 1215 2029 3108 4057 4927 5717 6606 7453 8299 9207 10188 12559 13839 14894 4285 
1136 1679 2054 3286 4115 4929 5487 6679 7332 8348 9260 10195 10849 11661 12383 12783 | 52 25 3 0 18 | 1073 1693 2106 3361 4214 4927 5717 6606 7453 8299 9207 10188 12559 13839 14894 4285 
657 1770 2792 4007 4579 5808 6620 7895 9039 10137 10747 11640 12905 13757 14500 15518 | 57 51 43 22 17 | 608 1784 2749 3874 4435 5753 6504 7977 8956 9971 10796 11703 12868 14006 15114 4400 
1257 2507 3715 4330 5365 6687 7444 7757 8288 9120 10126 11118 11626 12487 13421 13740 | 63 63 61 5 17 | 744 2223 3463 4264 5282 6362 7115 8129 8257 8943 10177 11380 12868 14006 15114 4400 
896 1788 2681 3160 4085 5128 5580 5997 7260 7940 8966 10157 11318 12346 13021 13851 | 53 21 1 0 18 | 946 1745 2450 3149 4175 4700 5571 6412 7453 8299 9207 10188 12559 13839 14894 4285 
1067 2028 3263 4413 5041 5796 6630 7511 7998 8938 10116 10730 11626 12429 13033 14137 | 56 63 38 2 17 | 963 1893 3463 4264 5282 5857 6588 7518 7908 8783 9622 10543 12868 14006 15114 4400 
398 1464 2723 3704 4627 5604 5992 6984 8043 8510 9755 10120 11354 12039 12353 12942 | 21 50 34 2 18 | 434 1481 2825 3652 4598 5473 6296 7027 7908 8783 9622 10543 12559 13839 14894 4285 
533 1824 2498 3700 4384 5488 6520 7324 8371 8881 9936 11157 12308 13257 14430 14821 | 57 47 31 5 17 | 608 1784 2470 3832 4467 5605 6577 7315 8221 8943 10177 11380 12868 14006 15114 4400 
762 1678 2320 2861 3577 4777 5478 6354 6996 7359 8605 8917 9831 10190 11131 12104 | 51 16 1 0 0 | 810 1680 2226 3111 3673 4700 5571 6412 7453 8299 9207 10188 11334 12305 13220 3549 
834 2066 2513 3629 4055 4769 6042 7039 7920 9124 10089 11186 11986 13021 13711 14583 | 59 48 7 5 17 | 832 1976 2557 3675 4143 4970 5996 6965 8221 8943 10177 11380 12868 14006 15114 4400 
704 1895 2210 3220 3864 5166 6319 7270 7584 8303 8988 9810 10654 11685 12130 12673 | 55 15 14 0 0 | 804 1809 2284 3172 3925 5089 6354 7181 7453 8299 9207 10188 11334 12305 13220 3549 
1298 2544 3699 4877 6192 6615 7772 9060 9958 10996 11915 12423 13005 14249 15230 16306 | 63 63 63 31 17 | 744 2223 3463 4264 5282 6705 7864 9116 9817 10920 11816 12621 12868 14006 15114 4400 
1184 2229 3460 4563 5806 7129 8314 9328 9895 11206 12154 12747 13587 14650 15142 16013 | 58 63 63 31 17 | 1149 1837 3463 4264 5282 6705 7864 9116 9817 10920 11816 12621 12868 14006 15114 4400 
416 1638 2669 3251 4160 4655 5645 6061 7236 7759 8365 9047 9456 10641 11121 11619 | 28 21 1 0 0 | 395 1661 2450 3149 4175 4700 5571 6412 7453 8299 9207 10188 11334 12305 13220 3549 
1301 2400 3353 3849 5038 5765 6709 7506 8570 8883 9935 10245 11151 12461 12840 13234 | 58 63 38 4 18 | 1149 1837 3463 4264 5282 5857 6588 7518 8494 9220 9938 10802 12559 13839 14894 4285 
972 1443 2504 3012 4064 4681 5439 6592 7551 8170 8589 9324 9704 10615 10987 11597 | 47 21 1 0 0 | 996 1433 2450 3149 4175 4700 5571 6412 7453 8299 9207 10188 11334 12305 13220 3549 
350 729 1547 2396 2771 3221 4498 5487 6121 6568 7288 7878 9119 10145 11277 11831 | 3 0 0 0 0 | 340 649 1389 2383 3270 4417 5360 6466 7453 8299 9207 10188 11334 12305 13220 3549 
817 1618 2504 3551 4262 5187 6337 7423 8133 8819 9251 9994 10785 11713 12211 12989 | 37 48 19 1 18 | 806 1573 2557 3675 4143 5255 6392 7376 7677 8543 9435 10367 12559 13839 14894 4285 
888 1290 2109 2794 3730 4580 5248 6444 6790 7573 7949 8916 10125 11066 11450 12133 | 43 4 0 0 0 | 921 1318 2045 2823 3637 4417 5360 6466 7453 8299 9207 10188 11334 12305 13220 3549 
1071 1441 2294 3497 4588 5567 6055 6866 7949 8480 8878 9594 10696 11858 12238 12539 | 47 42 34 0 0 | 996 1433 2408 3567 4603 5473 6296 7027 7453 8299 9207 10188 11334 12305 13220 3549 
544 1634 2263 2775 3875 4562 4911 5868 6306 7146 8297 9204 9572 10776 11345 12417 | 29 13 0 0 0 | 600 1629 2231 3000 4004 4417 5360 6466 7453 8299 9207 10188 11334 12305 13220 3549 
993 1853 2839 3778 4295 5081 5950 6810 7684 8092 8867 9469 10435 11399 12667 13129 | 56 51 8 0 18 | 963 1893 2749 3874 4435 5161 6021 6798 7453 8299 9207 10188 12559 13839 14894 4285 
1236 1996 2623 3396 3709 4926 6160 6930 7246 7832 8613 9452 9968 10336 11064 11989 | 58 23 7 0 0 | 1149 1837 2576 3348 3932 4970 5996 6965 7453 8299 9207 10188 11334 12305 13220 3549 
1063 1363 2354 3533 4112 4913 5911 6586 7707 8730 9406 10715 11969 13128 14147 14579 | 46 22 3 2 17 | 1057 1322 2354 3412 4087 4927 5717 6606 7908 8783 9622 10543 12868 14006 15114 4400 
978 2232 3102 3926 5212 6283 7128 8200 8800 9237 10017 11141 11710 12214 12821 13227 | 63 61 61 7 18 | 744 2223 2742 3974 5206 6362 7115 8129 8807 9470 10162 11406 12559 13839 14894 4285 
925 2191 3468 4203 5213 6117 7427 8088 9094 9549 10493 11101 12080 13050 14317 14661 | 63 63 60 7 17 | 744 2223 3463 4264 5282 5980 7245 8122 8807 9470 10162 11406 12868 14006 15114 4400 
1047 1809 2903 3882 4656 5009 5487 6697 7778 9035 10353 11393 12056 13115 13771 14408 | 58 57 3 5 17 | 1149 1837 2849 3849 4877 5005 5717 6606 8221 8943 10177 11380 12868 14006 15114 4400 
416 1055 1966 2368 3081 3480 4374 5530 6456 6758 7832 8135 8505 9597 10873 12161 | 8 3 0 0 0 | 408 994 1996 2689 3426 4417 5360 6466 7453 8299 9207 10188 11334 12305 13220 3549 
865 1860 2579 3047 3895 4534 5646 6114 6830 8114 9334 10155 11276 12182 13185 13816 | 55 20 1 0 18 | 804 1809 2435 3006 3797 4700 5571 6412 7453 8299 9207 10188 12559 13839 14894 4285 
591 1456 2140 3051 3879 4963 5529 5918 6364 6928 8198 9308 10181 10802 11820 13041 | 27 12 1 0 0 | 653 1484 2160 3076 3939 4700 5571 6412 7453 8299 9207 10188 11334 12305 13220 3549 
